LGA_NAME16	Year	Sex	IndigenousStatus	persons
Franklin Harbour (DC)	2016	M	Both Aboriginal & Torres Strait Islander	0
Franklin Harbour (DC)	2016	M	Non-indigenous	672
Franklin Harbour (DC)	2016	M	Torres Strait Islander	0
Gawler (T)	2006	F	Aboriginal	112
Gawler (T)	2006	F	Both Aboriginal & Torres Strait Islander	0
Gawler (T)	2006	F	Non-indigenous	9669
Gawler (T)	2006	F	Torres Strait Islander	10
Gawler (T)	2006	M	Aboriginal	91
Gawler (T)	2006	M	Both Aboriginal & Torres Strait Islander	0
Gawler (T)	2006	M	Non-indigenous	9021
Gawler (T)	2006	M	Torres Strait Islander	10
Gawler (T)	2011	F	Aboriginal	158
Gawler (T)	2011	F	Both Aboriginal & Torres Strait Islander	0
Gawler (T)	2011	F	Non-indigenous	10502
Gawler (T)	2011	F	Torres Strait Islander	5
Gawler (T)	2011	M	Aboriginal	132
Gawler (T)	2011	M	Both Aboriginal & Torres Strait Islander	3
Gawler (T)	2011	M	Non-indigenous	9726
Gawler (T)	2011	M	Torres Strait Islander	10
Gawler (T)	2016	F	Aboriginal	196
Gawler (T)	2016	F	Both Aboriginal & Torres Strait Islander	10
Gawler (T)	2016	F	Non-indigenous	11716
Gawler (T)	2016	F	Torres Strait Islander	15
Gawler (T)	2016	M	Aboriginal	163
Gawler (T)	2016	M	Both Aboriginal & Torres Strait Islander	0
Gawler (T)	2016	M	Non-indigenous	10926
Gawler (T)	2016	M	Torres Strait Islander	9
Goyder (DC)	2006	F	Aboriginal	14
Goyder (DC)	2006	F	Both Aboriginal & Torres Strait Islander	0
Goyder (DC)	2006	F	Non-indigenous	2058
Goyder (DC)	2006	F	Torres Strait Islander	7
Goyder (DC)	2006	M	Aboriginal	23
Goyder (DC)	2006	M	Both Aboriginal & Torres Strait Islander	0
Goyder (DC)	2006	M	Non-indigenous	2077
Goyder (DC)	2006	M	Torres Strait Islander	6
Goyder (DC)	2011	F	Aboriginal	29
Goyder (DC)	2011	F	Both Aboriginal & Torres Strait Islander	0
Goyder (DC)	2011	F	Non-indigenous	2038
Goyder (DC)	2011	F	Torres Strait Islander	3
Goyder (DC)	2011	M	Aboriginal	30
Goyder (DC)	2011	M	Both Aboriginal & Torres Strait Islander	0
Goyder (DC)	2011	M	Non-indigenous	2058
Goyder (DC)	2011	M	Torres Strait Islander	3
Goyder (DC)	2016	F	Aboriginal	32
Goyder (DC)	2016	F	Both Aboriginal & Torres Strait Islander	0
Goyder (DC)	2016	F	Non-indigenous	2024
Goyder (DC)	2016	F	Torres Strait Islander	3
Goyder (DC)	2016	M	Aboriginal	31
Goyder (DC)	2016	M	Both Aboriginal & Torres Strait Islander	0
Goyder (DC)	2016	M	Non-indigenous	2048
Goyder (DC)	2016	M	Torres Strait Islander	0
Grant (DC)	2006	F	Aboriginal	27
Grant (DC)	2006	F	Both Aboriginal & Torres Strait Islander	0
Grant (DC)	2006	F	Non-indigenous	3435
Grant (DC)	2006	F	Torres Strait Islander	3
Grant (DC)	2006	M	Aboriginal	35
Grant (DC)	2006	M	Both Aboriginal & Torres Strait Islander	0
Grant (DC)	2006	M	Non-indigenous	3775
Grant (DC)	2006	M	Torres Strait Islander	3
Grant (DC)	2011	F	Aboriginal	40
Grant (DC)	2011	F	Both Aboriginal & Torres Strait Islander	0
Grant (DC)	2011	F	Non-indigenous	3667
Grant (DC)	2011	F	Torres Strait Islander	3
Grant (DC)	2011	M	Aboriginal	61
Grant (DC)	2011	M	Both Aboriginal & Torres Strait Islander	0
Grant (DC)	2011	M	Non-indigenous	4080
Grant (DC)	2011	M	Torres Strait Islander	3
Grant (DC)	2016	F	Aboriginal	39
Grant (DC)	2016	F	Both Aboriginal & Torres Strait Islander	0
Grant (DC)	2016	F	Non-indigenous	3651
Grant (DC)	2016	F	Torres Strait Islander	0
Grant (DC)	2016	M	Aboriginal	85
Grant (DC)	2016	M	Both Aboriginal & Torres Strait Islander	0
Grant (DC)	2016	M	Non-indigenous	4422
Grant (DC)	2016	M	Torres Strait Islander	0
Holdfast Bay (C)	2006	F	Aboriginal	77
Holdfast Bay (C)	2006	F	Both Aboriginal & Torres Strait Islander	3
Holdfast Bay (C)	2006	F	Non-indigenous	17528
Holdfast Bay (C)	2006	F	Torres Strait Islander	8
Holdfast Bay (C)	2006	M	Aboriginal	53
Holdfast Bay (C)	2006	M	Both Aboriginal & Torres Strait Islander	10
Holdfast Bay (C)	2006	M	Non-indigenous	15617
Holdfast Bay (C)	2006	M	Torres Strait Islander	9
Holdfast Bay (C)	2011	F	Aboriginal	76
Holdfast Bay (C)	2011	F	Both Aboriginal & Torres Strait Islander	0
Holdfast Bay (C)	2011	F	Non-indigenous	18067
Holdfast Bay (C)	2011	F	Torres Strait Islander	12
Holdfast Bay (C)	2011	M	Aboriginal	73
Holdfast Bay (C)	2011	M	Both Aboriginal & Torres Strait Islander	5
Holdfast Bay (C)	2011	M	Non-indigenous	16366
Holdfast Bay (C)	2011	M	Torres Strait Islander	7
Holdfast Bay (C)	2016	F	Aboriginal	109
Holdfast Bay (C)	2016	F	Both Aboriginal & Torres Strait Islander	10
Holdfast Bay (C)	2016	F	Non-indigenous	18389
Holdfast Bay (C)	2016	F	Torres Strait Islander	6
Holdfast Bay (C)	2016	M	Aboriginal	116
Holdfast Bay (C)	2016	M	Both Aboriginal & Torres Strait Islander	6
Holdfast Bay (C)	2016	M	Non-indigenous	16720
Holdfast Bay (C)	2016	M	Torres Strait Islander	5
Kangaroo Island (DC)	2006	F	Aboriginal	10
Kangaroo Island (DC)	2006	F	Both Aboriginal & Torres Strait Islander	0
Kangaroo Island (DC)	2006	F	Non-indigenous	2065
Kangaroo Island (DC)	2006	F	Torres Strait Islander	0
Kangaroo Island (DC)	2006	M	Aboriginal	15
Kangaroo Island (DC)	2006	M	Both Aboriginal & Torres Strait Islander	0
Kangaroo Island (DC)	2006	M	Non-indigenous	2166
Kangaroo Island (DC)	2006	M	Torres Strait Islander	3
Kangaroo Island (DC)	2011	F	Aboriginal	27
Kangaroo Island (DC)	2011	F	Both Aboriginal & Torres Strait Islander	0
Kangaroo Island (DC)	2011	F	Non-indigenous	2131
Kangaroo Island (DC)	2011	F	Torres Strait Islander	0
Kangaroo Island (DC)	2011	M	Aboriginal	24
Kangaroo Island (DC)	2011	M	Both Aboriginal & Torres Strait Islander	0
Kangaroo Island (DC)	2011	M	Non-indigenous	2235
Kangaroo Island (DC)	2011	M	Torres Strait Islander	0
Kangaroo Island (DC)	2016	F	Aboriginal	29
Kangaroo Island (DC)	2016	F	Both Aboriginal & Torres Strait Islander	0
Kangaroo Island (DC)	2016	F	Non-indigenous	2268
Kangaroo Island (DC)	2016	F	Torres Strait Islander	0
Kangaroo Island (DC)	2016	M	Aboriginal	37
Kangaroo Island (DC)	2016	M	Both Aboriginal & Torres Strait Islander	3
Kangaroo Island (DC)	2016	M	Non-indigenous	2365
Kangaroo Island (DC)	2016	M	Torres Strait Islander	0
Karoonda East Murray (DC)	2006	F	Aboriginal	3
Karoonda East Murray (DC)	2006	F	Both Aboriginal & Torres Strait Islander	0
Karoonda East Murray (DC)	2006	F	Non-indigenous	573
Karoonda East Murray (DC)	2006	F	Torres Strait Islander	0
Karoonda East Murray (DC)	2006	M	Aboriginal	3
Karoonda East Murray (DC)	2006	M	Both Aboriginal & Torres Strait Islander	0
Karoonda East Murray (DC)	2006	M	Non-indigenous	588
Karoonda East Murray (DC)	2006	M	Torres Strait Islander	0
Karoonda East Murray (DC)	2011	F	Aboriginal	3
Karoonda East Murray (DC)	2011	F	Both Aboriginal & Torres Strait Islander	0
Karoonda East Murray (DC)	2011	F	Non-indigenous	492
Karoonda East Murray (DC)	2011	F	Torres Strait Islander	0
Karoonda East Murray (DC)	2011	M	Aboriginal	4
Karoonda East Murray (DC)	2011	M	Both Aboriginal & Torres Strait Islander	0
Karoonda East Murray (DC)	2011	M	Non-indigenous	532
Karoonda East Murray (DC)	2011	M	Torres Strait Islander	0
Karoonda East Murray (DC)	2016	F	Aboriginal	0
Karoonda East Murray (DC)	2016	F	Both Aboriginal & Torres Strait Islander	0
Karoonda East Murray (DC)	2016	F	Non-indigenous	526
Karoonda East Murray (DC)	2016	F	Torres Strait Islander	0
Karoonda East Murray (DC)	2016	M	Aboriginal	7
Karoonda East Murray (DC)	2016	M	Both Aboriginal & Torres Strait Islander	0
Karoonda East Murray (DC)	2016	M	Non-indigenous	559
Karoonda East Murray (DC)	2016	M	Torres Strait Islander	0
Kimba (DC)	2006	F	Aboriginal	0
Kimba (DC)	2006	F	Both Aboriginal & Torres Strait Islander	0
Kimba (DC)	2006	F	Non-indigenous	557
Kimba (DC)	2006	F	Torres Strait Islander	0
Kimba (DC)	2006	M	Aboriginal	0
Kimba (DC)	2006	M	Both Aboriginal & Torres Strait Islander	0
Kimba (DC)	2006	M	Non-indigenous	554
Kimba (DC)	2006	M	Torres Strait Islander	0
Kimba (DC)	2011	F	Aboriginal	3
Kimba (DC)	2011	F	Both Aboriginal & Torres Strait Islander	0
Kimba (DC)	2011	F	Non-indigenous	527
Kimba (DC)	2011	F	Torres Strait Islander	0
Kimba (DC)	2011	M	Aboriginal	7
Kimba (DC)	2011	M	Both Aboriginal & Torres Strait Islander	0
Kimba (DC)	2011	M	Non-indigenous	549
Kimba (DC)	2011	M	Torres Strait Islander	0
Kimba (DC)	2016	F	Aboriginal	7
Kimba (DC)	2016	F	Both Aboriginal & Torres Strait Islander	0
Kimba (DC)	2016	F	Non-indigenous	509
Kimba (DC)	2016	F	Torres Strait Islander	0
Kimba (DC)	2016	M	Aboriginal	7
Kimba (DC)	2016	M	Both Aboriginal & Torres Strait Islander	0
Kimba (DC)	2016	M	Non-indigenous	536
Kimba (DC)	2016	M	Torres Strait Islander	0
Kingston (DC) (SA)	2006	F	Aboriginal	15
Kingston (DC) (SA)	2006	F	Both Aboriginal & Torres Strait Islander	0
Kingston (DC) (SA)	2006	F	Non-indigenous	1131
Kingston (DC) (SA)	2006	F	Torres Strait Islander	0
Kingston (DC) (SA)	2006	M	Aboriginal	12
Kingston (DC) (SA)	2006	M	Both Aboriginal & Torres Strait Islander	0
Kingston (DC) (SA)	2006	M	Non-indigenous	1171
Kingston (DC) (SA)	2006	M	Torres Strait Islander	0
Kingston (DC) (SA)	2011	F	Aboriginal	10
Kingston (DC) (SA)	2011	F	Both Aboriginal & Torres Strait Islander	3
Kingston (DC) (SA)	2011	F	Non-indigenous	1098
Kingston (DC) (SA)	2011	F	Torres Strait Islander	3
Kingston (DC) (SA)	2011	M	Aboriginal	18
Kingston (DC) (SA)	2011	M	Both Aboriginal & Torres Strait Islander	0
Kingston (DC) (SA)	2011	M	Non-indigenous	1147
Kingston (DC) (SA)	2011	M	Torres Strait Islander	0
Kingston (DC) (SA)	2016	F	Aboriginal	12
Kingston (DC) (SA)	2016	F	Both Aboriginal & Torres Strait Islander	3
Kingston (DC) (SA)	2016	F	Non-indigenous	1117
Kingston (DC) (SA)	2016	F	Torres Strait Islander	0
Kingston (DC) (SA)	2016	M	Aboriginal	31
Kingston (DC) (SA)	2016	M	Both Aboriginal & Torres Strait Islander	4
Kingston (DC) (SA)	2016	M	Non-indigenous	1180
Kingston (DC) (SA)	2016	M	Torres Strait Islander	0
Light (RegC)	2006	F	Aboriginal	39
Light (RegC)	2006	F	Both Aboriginal & Torres Strait Islander	0
Light (RegC)	2006	F	Non-indigenous	6029
Light (RegC)	2006	F	Torres Strait Islander	4
Light (RegC)	2006	M	Aboriginal	37
Light (RegC)	2006	M	Both Aboriginal & Torres Strait Islander	0
Light (RegC)	2006	M	Non-indigenous	6239
Light (RegC)	2006	M	Torres Strait Islander	10
Light (RegC)	2011	F	Aboriginal	51
Light (RegC)	2011	F	Both Aboriginal & Torres Strait Islander	0
Light (RegC)	2011	F	Non-indigenous	6720
Light (RegC)	2011	F	Torres Strait Islander	4
Light (RegC)	2011	M	Aboriginal	52
Light (RegC)	2011	M	Both Aboriginal & Torres Strait Islander	0
Light (RegC)	2011	M	Non-indigenous	6949
Light (RegC)	2011	M	Torres Strait Islander	9
Light (RegC)	2016	F	Aboriginal	63
Light (RegC)	2016	F	Both Aboriginal & Torres Strait Islander	0
Light (RegC)	2016	F	Non-indigenous	7223
Light (RegC)	2016	F	Torres Strait Islander	4
Light (RegC)	2016	M	Aboriginal	74
Light (RegC)	2016	M	Both Aboriginal & Torres Strait Islander	0
Light (RegC)	2016	M	Non-indigenous	7355
Light (RegC)	2016	M	Torres Strait Islander	9
Lower Eyre Peninsula (DC)	2006	F	Aboriginal	50
Lower Eyre Peninsula (DC)	2006	F	Both Aboriginal & Torres Strait Islander	0
Lower Eyre Peninsula (DC)	2006	F	Non-indigenous	2025
Lower Eyre Peninsula (DC)	2006	F	Torres Strait Islander	0
Lower Eyre Peninsula (DC)	2006	M	Aboriginal	48
Lower Eyre Peninsula (DC)	2006	M	Both Aboriginal & Torres Strait Islander	0
Lower Eyre Peninsula (DC)	2006	M	Non-indigenous	2281
Lower Eyre Peninsula (DC)	2006	M	Torres Strait Islander	0
Lower Eyre Peninsula (DC)	2011	F	Aboriginal	79
Lower Eyre Peninsula (DC)	2011	F	Both Aboriginal & Torres Strait Islander	0
Lower Eyre Peninsula (DC)	2011	F	Non-indigenous	2230
Lower Eyre Peninsula (DC)	2011	F	Torres Strait Islander	0
Lower Eyre Peninsula (DC)	2011	M	Aboriginal	69
Lower Eyre Peninsula (DC)	2011	M	Both Aboriginal & Torres Strait Islander	0
Lower Eyre Peninsula (DC)	2011	M	Non-indigenous	2538
Lower Eyre Peninsula (DC)	2011	M	Torres Strait Islander	0
Lower Eyre Peninsula (DC)	2016	F	Aboriginal	72
Lower Eyre Peninsula (DC)	2016	F	Both Aboriginal & Torres Strait Islander	0
Lower Eyre Peninsula (DC)	2016	F	Non-indigenous	2489
Lower Eyre Peninsula (DC)	2016	F	Torres Strait Islander	0
Lower Eyre Peninsula (DC)	2016	M	Aboriginal	106
Lower Eyre Peninsula (DC)	2016	M	Both Aboriginal & Torres Strait Islander	0
Lower Eyre Peninsula (DC)	2016	M	Non-indigenous	2848
Lower Eyre Peninsula (DC)	2016	M	Torres Strait Islander	0
Loxton Waikerie (DC)	2006	F	Aboriginal	105
Loxton Waikerie (DC)	2006	F	Both Aboriginal & Torres Strait Islander	4
Loxton Waikerie (DC)	2006	F	Non-indigenous	5581
Loxton Waikerie (DC)	2006	F	Torres Strait Islander	7
Loxton Waikerie (DC)	2006	M	Aboriginal	99
Loxton Waikerie (DC)	2006	M	Both Aboriginal & Torres Strait Islander	0
Loxton Waikerie (DC)	2006	M	Non-indigenous	5806
Loxton Waikerie (DC)	2006	M	Torres Strait Islander	3
Loxton Waikerie (DC)	2011	F	Aboriginal	106
Loxton Waikerie (DC)	2011	F	Both Aboriginal & Torres Strait Islander	0
Loxton Waikerie (DC)	2011	F	Non-indigenous	5511
Loxton Waikerie (DC)	2011	F	Torres Strait Islander	10
Loxton Waikerie (DC)	2011	M	Aboriginal	108
Loxton Waikerie (DC)	2011	M	Both Aboriginal & Torres Strait Islander	3
Loxton Waikerie (DC)	2011	M	Non-indigenous	5542
Loxton Waikerie (DC)	2011	M	Torres Strait Islander	6
Loxton Waikerie (DC)	2016	F	Aboriginal	137
Loxton Waikerie (DC)	2016	F	Both Aboriginal & Torres Strait Islander	0
Loxton Waikerie (DC)	2016	F	Non-indigenous	5603
Loxton Waikerie (DC)	2016	F	Torres Strait Islander	7
Loxton Waikerie (DC)	2016	M	Aboriginal	115
Loxton Waikerie (DC)	2016	M	Both Aboriginal & Torres Strait Islander	3
Loxton Waikerie (DC)	2016	M	Non-indigenous	5615
Loxton Waikerie (DC)	2016	M	Torres Strait Islander	4
Mallala (DC)	2006	F	Aboriginal	54
Mallala (DC)	2006	F	Both Aboriginal & Torres Strait Islander	0
Mallala (DC)	2006	F	Non-indigenous	3805
Mallala (DC)	2006	F	Torres Strait Islander	3
Mallala (DC)	2006	M	Aboriginal	65
Mallala (DC)	2006	M	Both Aboriginal & Torres Strait Islander	3
Mallala (DC)	2006	M	Non-indigenous	3970
Mallala (DC)	2006	M	Torres Strait Islander	0
Mallala (DC)	2011	F	Aboriginal	82
Mallala (DC)	2011	F	Both Aboriginal & Torres Strait Islander	0
Mallala (DC)	2011	F	Non-indigenous	4000
Mallala (DC)	2011	F	Torres Strait Islander	7
Mallala (DC)	2011	M	Aboriginal	79
Mallala (DC)	2011	M	Both Aboriginal & Torres Strait Islander	0
Mallala (DC)	2011	M	Non-indigenous	4167
Mallala (DC)	2011	M	Torres Strait Islander	4
Mallala (DC)	2016	F	Aboriginal	103
Mallala (DC)	2016	F	Both Aboriginal & Torres Strait Islander	0
Mallala (DC)	2016	F	Non-indigenous	4138
Mallala (DC)	2016	F	Torres Strait Islander	5
Mallala (DC)	2016	M	Aboriginal	108
Mallala (DC)	2016	M	Both Aboriginal & Torres Strait Islander	3
Mallala (DC)	2016	M	Non-indigenous	4438
Mallala (DC)	2016	M	Torres Strait Islander	11
Maralinga Tjarutja (AC)	2006	F	Aboriginal	51
Maralinga Tjarutja (AC)	2006	F	Both Aboriginal & Torres Strait Islander	0
Maralinga Tjarutja (AC)	2006	F	Non-indigenous	6
Maralinga Tjarutja (AC)	2006	F	Torres Strait Islander	0
Maralinga Tjarutja (AC)	2006	M	Aboriginal	46
Maralinga Tjarutja (AC)	2006	M	Both Aboriginal & Torres Strait Islander	0
Maralinga Tjarutja (AC)	2006	M	Non-indigenous	5
Maralinga Tjarutja (AC)	2006	M	Torres Strait Islander	0
Maralinga Tjarutja (AC)	2011	F	Aboriginal	31
Maralinga Tjarutja (AC)	2011	F	Both Aboriginal & Torres Strait Islander	0
Maralinga Tjarutja (AC)	2011	F	Non-indigenous	4
Maralinga Tjarutja (AC)	2011	F	Torres Strait Islander	0
Maralinga Tjarutja (AC)	2011	M	Aboriginal	31
Maralinga Tjarutja (AC)	2011	M	Both Aboriginal & Torres Strait Islander	0
Maralinga Tjarutja (AC)	2011	M	Non-indigenous	7
Maralinga Tjarutja (AC)	2011	M	Torres Strait Islander	0
Maralinga Tjarutja (AC)	2016	F	Aboriginal	26
Maralinga Tjarutja (AC)	2016	F	Both Aboriginal & Torres Strait Islander	0
Maralinga Tjarutja (AC)	2016	F	Non-indigenous	4
Maralinga Tjarutja (AC)	2016	F	Torres Strait Islander	0
Maralinga Tjarutja (AC)	2016	M	Aboriginal	24
Maralinga Tjarutja (AC)	2016	M	Both Aboriginal & Torres Strait Islander	0
Maralinga Tjarutja (AC)	2016	M	Non-indigenous	1
Maralinga Tjarutja (AC)	2016	M	Torres Strait Islander	0
Marion (C)	2006	F	Aboriginal	311
Marion (C)	2006	F	Both Aboriginal & Torres Strait Islander	4
Marion (C)	2006	F	Non-indigenous	40517
Marion (C)	2006	F	Torres Strait Islander	28
Marion (C)	2006	M	Aboriginal	288
Marion (C)	2006	M	Both Aboriginal & Torres Strait Islander	3
Marion (C)	2006	M	Non-indigenous	37525
Marion (C)	2006	M	Torres Strait Islander	21
Marion (C)	2011	F	Aboriginal	406
Marion (C)	2011	F	Both Aboriginal & Torres Strait Islander	14
Marion (C)	2011	F	Non-indigenous	42520
Marion (C)	2011	F	Torres Strait Islander	27
Marion (C)	2011	M	Aboriginal	401
Marion (C)	2011	M	Both Aboriginal & Torres Strait Islander	13
Marion (C)	2011	M	Non-indigenous	39587
Marion (C)	2011	M	Torres Strait Islander	23
Marion (C)	2016	F	Aboriginal	480
Marion (C)	2016	F	Both Aboriginal & Torres Strait Islander	17
Marion (C)	2016	F	Non-indigenous	45477
Marion (C)	2016	F	Torres Strait Islander	29
Marion (C)	2016	M	Aboriginal	471
Marion (C)	2016	M	Both Aboriginal & Torres Strait Islander	12
Marion (C)	2016	M	Non-indigenous	42098
Marion (C)	2016	M	Torres Strait Islander	28
Mid Murray (DC)	2006	F	Aboriginal	56
Mid Murray (DC)	2006	F	Both Aboriginal & Torres Strait Islander	0
Mid Murray (DC)	2006	F	Non-indigenous	3744
Mid Murray (DC)	2006	F	Torres Strait Islander	0
Mid Murray (DC)	2006	M	Aboriginal	68
Mid Murray (DC)	2006	M	Both Aboriginal & Torres Strait Islander	0
Mid Murray (DC)	2006	M	Non-indigenous	4165
Mid Murray (DC)	2006	M	Torres Strait Islander	3
Mid Murray (DC)	2011	F	Aboriginal	62
Mid Murray (DC)	2011	F	Both Aboriginal & Torres Strait Islander	0
Mid Murray (DC)	2011	F	Non-indigenous	3750
Mid Murray (DC)	2011	F	Torres Strait Islander	0
Mid Murray (DC)	2011	M	Aboriginal	89
Mid Murray (DC)	2011	M	Both Aboriginal & Torres Strait Islander	0
Mid Murray (DC)	2011	M	Non-indigenous	4231
Mid Murray (DC)	2011	M	Torres Strait Islander	4
Mid Murray (DC)	2016	F	Aboriginal	83
Mid Murray (DC)	2016	F	Both Aboriginal & Torres Strait Islander	0
Mid Murray (DC)	2016	F	Non-indigenous	3933
Mid Murray (DC)	2016	F	Torres Strait Islander	4
Mid Murray (DC)	2016	M	Aboriginal	119
Mid Murray (DC)	2016	M	Both Aboriginal & Torres Strait Islander	0
Mid Murray (DC)	2016	M	Non-indigenous	4498
Mid Murray (DC)	2016	M	Torres Strait Islander	0
Mitcham (C)	2006	F	Aboriginal	100
Mitcham (C)	2006	F	Both Aboriginal & Torres Strait Islander	3
Mitcham (C)	2006	F	Non-indigenous	31947
Mitcham (C)	2006	F	Torres Strait Islander	11
Mitcham (C)	2006	M	Aboriginal	123
Mitcham (C)	2006	M	Both Aboriginal & Torres Strait Islander	3
Mitcham (C)	2006	M	Non-indigenous	29655
Mitcham (C)	2006	M	Torres Strait Islander	10
Mitcham (C)	2011	F	Aboriginal	148
Mitcham (C)	2011	F	Both Aboriginal & Torres Strait Islander	3
Mitcham (C)	2011	F	Non-indigenous	32299
Mitcham (C)	2011	F	Torres Strait Islander	17
Mitcham (C)	2011	M	Aboriginal	132
Mitcham (C)	2011	M	Both Aboriginal & Torres Strait Islander	6
Mitcham (C)	2011	M	Non-indigenous	30285
Mitcham (C)	2011	M	Torres Strait Islander	8
Mitcham (C)	2016	F	Aboriginal	174
Mitcham (C)	2016	F	Both Aboriginal & Torres Strait Islander	4
Mitcham (C)	2016	F	Non-indigenous	33342
Mitcham (C)	2016	F	Torres Strait Islander	11
Mitcham (C)	2016	M	Aboriginal	157
Mitcham (C)	2016	M	Both Aboriginal & Torres Strait Islander	3
Mitcham (C)	2016	M	Non-indigenous	31102
Mitcham (C)	2016	M	Torres Strait Islander	8
Mount Barker (DC)	2006	F	Aboriginal	89
Mount Barker (DC)	2006	F	Both Aboriginal & Torres Strait Islander	4
Mount Barker (DC)	2006	F	Non-indigenous	13478
Mount Barker (DC)	2006	F	Torres Strait Islander	11
Mount Barker (DC)	2006	M	Aboriginal	100
Mount Barker (DC)	2006	M	Both Aboriginal & Torres Strait Islander	0
Mount Barker (DC)	2006	M	Non-indigenous	12745
Mount Barker (DC)	2006	M	Torres Strait Islander	6
Mount Barker (DC)	2011	F	Aboriginal	115
Mount Barker (DC)	2011	F	Both Aboriginal & Torres Strait Islander	0
Mount Barker (DC)	2011	F	Non-indigenous	15187
Mount Barker (DC)	2011	F	Torres Strait Islander	3
Mount Barker (DC)	2011	M	Aboriginal	107
Mount Barker (DC)	2011	M	Both Aboriginal & Torres Strait Islander	0
Mount Barker (DC)	2011	M	Non-indigenous	14350
Mount Barker (DC)	2011	M	Torres Strait Islander	7
Mount Barker (DC)	2016	F	Aboriginal	176
Mount Barker (DC)	2016	F	Both Aboriginal & Torres Strait Islander	4
Mount Barker (DC)	2016	F	Non-indigenous	16962
Mount Barker (DC)	2016	F	Torres Strait Islander	7
Mount Barker (DC)	2016	M	Aboriginal	160
Mount Barker (DC)	2016	M	Both Aboriginal & Torres Strait Islander	5
Mount Barker (DC)	2016	M	Non-indigenous	16069
Mount Barker (DC)	2016	M	Torres Strait Islander	12
Mount Gambier (C)	2006	F	Aboriginal	188
Mount Gambier (C)	2006	F	Both Aboriginal & Torres Strait Islander	3
Mount Gambier (C)	2006	F	Non-indigenous	12228
Mount Gambier (C)	2006	F	Torres Strait Islander	15
Mount Gambier (C)	2006	M	Aboriginal	150
Mount Gambier (C)	2006	M	Both Aboriginal & Torres Strait Islander	4
Mount Gambier (C)	2006	M	Non-indigenous	11487
Mount Gambier (C)	2006	M	Torres Strait Islander	11
Mount Gambier (C)	2011	F	Aboriginal	281
Mount Gambier (C)	2011	F	Both Aboriginal & Torres Strait Islander	18
Mount Gambier (C)	2011	F	Non-indigenous	12734
Mount Gambier (C)	2011	F	Torres Strait Islander	7
Mount Gambier (C)	2011	M	Aboriginal	245
Mount Gambier (C)	2011	M	Both Aboriginal & Torres Strait Islander	8
Mount Gambier (C)	2011	M	Non-indigenous	11936
Mount Gambier (C)	2011	M	Torres Strait Islander	14
Mount Gambier (C)	2016	F	Aboriginal	287
Mount Gambier (C)	2016	F	Both Aboriginal & Torres Strait Islander	5
Mount Gambier (C)	2016	F	Non-indigenous	13232
Mount Gambier (C)	2016	F	Torres Strait Islander	14
Mount Gambier (C)	2016	M	Aboriginal	274
Mount Gambier (C)	2016	M	Both Aboriginal & Torres Strait Islander	9
Mount Gambier (C)	2016	M	Non-indigenous	12444
Mount Gambier (C)	2016	M	Torres Strait Islander	10
Mount Remarkable (DC)	2006	F	Aboriginal	27
Mount Remarkable (DC)	2006	F	Both Aboriginal & Torres Strait Islander	0
Mount Remarkable (DC)	2006	F	Non-indigenous	1339
Mount Remarkable (DC)	2006	F	Torres Strait Islander	0
Mount Remarkable (DC)	2006	M	Aboriginal	27
Mount Remarkable (DC)	2006	M	Both Aboriginal & Torres Strait Islander	0
Mount Remarkable (DC)	2006	M	Non-indigenous	1451
Mount Remarkable (DC)	2006	M	Torres Strait Islander	0
Mount Remarkable (DC)	2011	F	Aboriginal	44
Mount Remarkable (DC)	2011	F	Both Aboriginal & Torres Strait Islander	0
Mount Remarkable (DC)	2011	F	Non-indigenous	1374
Mount Remarkable (DC)	2011	F	Torres Strait Islander	3
Mount Remarkable (DC)	2011	M	Aboriginal	39
Mount Remarkable (DC)	2011	M	Both Aboriginal & Torres Strait Islander	0
Mount Remarkable (DC)	2011	M	Non-indigenous	1412
Mount Remarkable (DC)	2011	M	Torres Strait Islander	0
Mount Remarkable (DC)	2016	F	Aboriginal	40
Mount Remarkable (DC)	2016	F	Both Aboriginal & Torres Strait Islander	0
Mount Remarkable (DC)	2016	F	Non-indigenous	1361
Mount Remarkable (DC)	2016	F	Torres Strait Islander	0
Mount Remarkable (DC)	2016	M	Aboriginal	48
Mount Remarkable (DC)	2016	M	Both Aboriginal & Torres Strait Islander	0
Mount Remarkable (DC)	2016	M	Non-indigenous	1410
Mount Remarkable (DC)	2016	M	Torres Strait Islander	0
Murray Bridge (RC)	2006	F	Aboriginal	346
Murray Bridge (RC)	2006	F	Both Aboriginal & Torres Strait Islander	9
Murray Bridge (RC)	2006	F	Non-indigenous	8529
Murray Bridge (RC)	2006	F	Torres Strait Islander	4
Murray Bridge (RC)	2006	M	Aboriginal	382
Murray Bridge (RC)	2006	M	Both Aboriginal & Torres Strait Islander	3
Murray Bridge (RC)	2006	M	Non-indigenous	8396
Murray Bridge (RC)	2006	M	Torres Strait Islander	10
Murray Bridge (RC)	2011	F	Aboriginal	437
Murray Bridge (RC)	2011	F	Both Aboriginal & Torres Strait Islander	3
Murray Bridge (RC)	2011	F	Non-indigenous	9350
Murray Bridge (RC)	2011	F	Torres Strait Islander	4
Murray Bridge (RC)	2011	M	Aboriginal	513
Murray Bridge (RC)	2011	M	Both Aboriginal & Torres Strait Islander	5
Murray Bridge (RC)	2011	M	Non-indigenous	9420
