SA2_NAME16	Year	employmentToPopulation
Bonnyrigg Heights - Bonnyrigg	2011	49.2
Bonnyrigg Heights - Bonnyrigg	2016	48.1
Bossley Park - Abbotsbury	2006	58.4
Bossley Park - Abbotsbury	2011	56.8
Bossley Park - Abbotsbury	2016	52.1
Cabramatta - Lansvale	2006	39.3
Cabramatta - Lansvale	2011	40.6
Cabramatta - Lansvale	2016	42.3
Cabramatta West - Mount Pritchard	2006	43.7
Cabramatta West - Mount Pritchard	2011	44.2
Cabramatta West - Mount Pritchard	2016	45.2
Canley Vale - Canley Heights	2006	42.6
Canley Vale - Canley Heights	2011	42.8
Canley Vale - Canley Heights	2016	43.9
Edensor Park	2006	56.1
Edensor Park	2011	55.4
Edensor Park	2016	52.1
Fairfield	2006	37.3
Fairfield	2011	37.5
Fairfield	2016	35.8
Fairfield - West	2006	44.8
Fairfield - West	2011	43.1
Fairfield - West	2016	41.9
Greenfield Park - Prairiewood	2006	50.1
Greenfield Park - Prairiewood	2011	49.5
Greenfield Park - Prairiewood	2016	46.4
Horsley Park - Kemps Creek	2006	57.8
Horsley Park - Kemps Creek	2011	57.3
Horsley Park - Kemps Creek	2016	56
Smithfield - Wetherill Park	2006	50.7
Smithfield - Wetherill Park	2011	48.1
Smithfield - Wetherill Park	2016	45.6
St Johns Park - Wakeley	2006	50.7
St Johns Park - Wakeley	2011	49.9
St Johns Park - Wakeley	2016	47.2
Wetherill Park Industrial	2006	0
Wetherill Park Industrial	2011	33.3
Wetherill Park Industrial	2016	42.9
Casula	2006	57.8
Casula	2011	53.8
Casula	2016	53.7
Chipping Norton - Moorebank	2006	62.6
Chipping Norton - Moorebank	2011	61
Chipping Norton - Moorebank	2016	60.2
Holsworthy - Wattle Grove	2006	71.8
Holsworthy - Wattle Grove	2011	70
Holsworthy - Wattle Grove	2016	67.4
Liverpool	2006	41.4
Liverpool	2011	40.5
Liverpool	2016	39.7
Lurnea - Cartwright	2006	40.6
Lurnea - Cartwright	2011	40.6
Lurnea - Cartwright	2016	38.4
Prestons - Edmondson Park	2006	62.1
Prestons - Edmondson Park	2011	64.3
Prestons - Edmondson Park	2016	61.2
Warwick Farm	2006	38.7
Warwick Farm	2011	36.3
Warwick Farm	2016	40.8
Gymea - Grays Point	2006	66.2
Gymea - Grays Point	2011	66
Gymea - Grays Point	2016	65.8
Miranda - Yowie Bay	2006	59.3
Miranda - Yowie Bay	2011	59.3
Miranda - Yowie Bay	2016	58.7
Sylvania - Taren Point	2006	56.5
Sylvania - Taren Point	2011	55.3
Sylvania - Taren Point	2016	53.7
Caringbah	2006	58.9
Caringbah	2011	63
Caringbah	2016	63.1
Caringbah South	2006	62.9
Caringbah South	2011	62.9
Caringbah South	2016	62.1
Cronulla - Kurnell - Bundeena	2006	62.2
Cronulla - Kurnell - Bundeena	2011	66.7
Cronulla - Kurnell - Bundeena	2016	64.5
Lilli Pilli - Port Hacking - Dolans Bay	2006	67.1
Lilli Pilli - Port Hacking - Dolans Bay	2011	64.7
Lilli Pilli - Port Hacking - Dolans Bay	2016	66.7
Woolaware - Burraneer	2006	63.4
Woolaware - Burraneer	2011	65.1
Woolaware - Burraneer	2016	66.1
Heathcote - Waterfall	2006	64.9
Heathcote - Waterfall	2011	63.7
Heathcote - Waterfall	2016	61.3
Illawong - Alfords Point	2006	70.7
Illawong - Alfords Point	2011	69.2
Illawong - Alfords Point	2016	67
Menai - Lucas Heights - Woronora	2006	72.1
Menai - Lucas Heights - Woronora	2011	71
Menai - Lucas Heights - Woronora	2016	68.6
Oyster Bay - Como - Jannali	2006	66.5
Oyster Bay - Como - Jannali	2011	64.9
Oyster Bay - Como - Jannali	2016	64.7
Royal National Park	2006	27.3
Royal National Park	2011	92.3
Royal National Park	2016	65.4
Sutherland - Kirrawee	2006	63.5
Sutherland - Kirrawee	2011	62.7
Sutherland - Kirrawee	2016	63.1
Engadine	2006	69.4
Engadine	2011	66.5
Engadine	2016	65.2
Loftus - Yarrawarrah	2006	68.4
Loftus - Yarrawarrah	2011	67.3
Loftus - Yarrawarrah	2016	66
Woronora Heights	2006	78.2
Woronora Heights	2011	75.8
Woronora Heights	2016	74.1
Migratory - Offshore - Shipping (NSW)	2006	82
Migratory - Offshore - Shipping (NSW)	2011	26.4
Migratory - Offshore - Shipping (NSW)	2016	32.6
No usual address (NSW)	2006	37.9
No usual address (NSW)	2011	31.1
No usual address (NSW)	2016	28.8
Alfredton	2006	64
Alfredton	2011	64.3
Alfredton	2016	64.3
Ballarat	2006	57.2
Ballarat	2011	56.7
Ballarat	2016	54.5
Ballarat - North	2006	56.3
Ballarat - North	2011	58
Ballarat - North	2016	55.9
Ballarat - South	2006	51.7
Ballarat - South	2011	52.9
Ballarat - South	2016	50.3
Buninyong	2006	62.3
Buninyong	2011	62.1
Buninyong	2016	58
Delacombe	2006	58.8
Delacombe	2011	59.7
Delacombe	2016	58.2
Smythes Creek	2006	64
Smythes Creek	2011	64.3
Smythes Creek	2016	63.5
Wendouree - Miners Rest	2006	45.6
Wendouree - Miners Rest	2011	49
Wendouree - Miners Rest	2016	46.8
Bacchus Marsh Region	2006	59
Bacchus Marsh Region	2011	60.3
Bacchus Marsh Region	2016	56.7
Creswick - Clunes	2006	51.5
Creswick - Clunes	2011	52.3
Creswick - Clunes	2016	48.8
Daylesford	2006	52.1
Daylesford	2011	53.2
Daylesford	2016	51.2
Gordon (Vic.)	2006	59.3
Gordon (Vic.)	2011	59.9
Gordon (Vic.)	2016	58.5
Avoca	2006	46.6
Avoca	2011	45.9
Avoca	2016	43.1
Beaufort	2006	48
Beaufort	2011	48.1
Beaufort	2016	44.1
Golden Plains - North	2006	52.4
Golden Plains - North	2011	54.9
Golden Plains - North	2016	53.3
Maryborough (Vic.)	2006	39.8
Maryborough (Vic.)	2011	41
Maryborough (Vic.)	2016	38.8
Maryborough Region	2006	43.2
Maryborough Region	2011	44.8
Maryborough Region	2016	41.1
Bendigo	2006	49.8
Bendigo	2011	51.4
Bendigo	2016	49.9
California Gully - Eaglehawk	2006	48.7
California Gully - Eaglehawk	2011	51.2
California Gully - Eaglehawk	2016	48.8
East Bendigo - Kennington	2006	55.2
East Bendigo - Kennington	2011	55.2
East Bendigo - Kennington	2016	52.2
Flora Hill - Spring Gully	2006	57.5
Flora Hill - Spring Gully	2011	58.8
Flora Hill - Spring Gully	2016	56.7
Kangaroo Flat - Golden Square	2006	52.8
Kangaroo Flat - Golden Square	2011	53.2
Kangaroo Flat - Golden Square	2016	50.4
Maiden Gully	2006	70.6
Maiden Gully	2011	72.5
Maiden Gully	2016	67.2
Strathfieldsaye	2006	69.9
Strathfieldsaye	2011	69.6
Strathfieldsaye	2016	65.3
White Hills - Ascot	2006	61.1
White Hills - Ascot	2011	63
White Hills - Ascot	2016	62.3
Bendigo Region - South	2006	63.7
Bendigo Region - South	2011	63.9
Bendigo Region - South	2016	63
Castlemaine	2006	45.1
Castlemaine	2011	48
Castlemaine	2016	45.1
Castlemaine Region	2006	53.6
Castlemaine Region	2011	53.4
Castlemaine Region	2016	50.5
Heathcote	2006	39.1
Heathcote	2011	42.9
Heathcote	2016	41
Kyneton	2006	55.7
Kyneton	2011	56.4
Kyneton	2016	53.8
Woodend	2006	62.1
Woodend	2011	62.1
Woodend	2016	57.8
Bendigo Region - North	2006	59.7
Bendigo Region - North	2011	58.2
Bendigo Region - North	2016	55.8
Loddon	2006	50.1
Loddon	2011	46.9
Loddon	2016	44.5
Bannockburn	2006	67.2
Bannockburn	2011	66
Bannockburn	2016	63.8
Golden Plains - South	2006	61
Golden Plains - South	2011	63
Golden Plains - South	2016	61.6
Winchelsea	2006	61.7
Winchelsea	2011	60.9
Winchelsea	2016	60.4
Belmont	2006	52.4
Belmont	2011	55.3
Belmont	2016	55.5
Corio - Norlane	2006	43.5
Corio - Norlane	2011	44.6
Corio - Norlane	2016	41.5
Geelong	2006	56.9
Geelong	2011	59.3
Geelong	2016	57.7
Geelong West - Hamlyn Heights	2006	56.2
Geelong West - Hamlyn Heights	2011	59.8
Geelong West - Hamlyn Heights	2016	60.3
Grovedale	2006	58.8
Grovedale	2011	59.2
Grovedale	2016	57.9
Highton	2006	59.7
Highton	2011	60.5
Highton	2016	59.2
Lara	2006	60.2
Lara	2011	60.1
Lara	2016	57.4
Leopold	2006	61.2
Leopold	2011	60.3
Leopold	2016	57.7
Newcomb - Moolap	2006	50.8
Newcomb - Moolap	2011	52.2
Newcomb - Moolap	2016	48.3
Newtown (Vic.)	2006	58.6
Newtown (Vic.)	2011	61.6
Newtown (Vic.)	2016	59.7
North Geelong - Bell Park	2006	49.4
North Geelong - Bell Park	2011	50.1
North Geelong - Bell Park	2016	50
Clifton Springs	2006	53.5
Clifton Springs	2011	53.8
Clifton Springs	2016	51.8
Lorne - Anglesea	2006	50.9
Lorne - Anglesea	2011	52.5
Lorne - Anglesea	2016	52.9
Ocean Grove - Barwon Heads	2006	58.8
Ocean Grove - Barwon Heads	2011	59.5
Ocean Grove - Barwon Heads	2016	60
Portarlington	2006	35.1
Portarlington	2011	38.7
Portarlington	2016	36.5
Point Lonsdale - Queenscliff	2006	44
Point Lonsdale - Queenscliff	2011	45.7
Point Lonsdale - Queenscliff	2016	41.6
Torquay	2006	63
Torquay	2011	64.6
Torquay	2016	62.5
Alexandra	2006	53.2
Alexandra	2011	52.6
Alexandra	2016	48.1
Euroa	2006	52.6
Euroa	2011	51.4
Euroa	2016	48.6
Kilmore - Broadford	2006	56.2
Kilmore - Broadford	2011	57.2
Kilmore - Broadford	2016	54.6
Mansfield (Vic.)	2006	57.1
Mansfield (Vic.)	2011	58.3
Mansfield (Vic.)	2016	53.7
Nagambie	2006	52.5
Nagambie	2011	52.4
Nagambie	2016	52.1
Seymour	2006	50.6
Seymour	2011	49.7
Seymour	2016	45.8
Seymour Region	2006	63.1
Seymour Region	2011	63.1
Seymour Region	2016	60.5
Upper Yarra Valley	2006	42.5
Upper Yarra Valley	2011	44.2
Upper Yarra Valley	2016	47.1
Yea	2006	54.2
Yea	2011	52.5
Yea	2016	49.1
Benalla	2006	51.6
Benalla	2011	50.6
Benalla	2016	45.7
Benalla Region	2006	62.7
Benalla Region	2011	62.5
Benalla Region	2016	56.5
Rutherglen	2006	59
Rutherglen	2011	58.5
Rutherglen	2016	54.9
Wangaratta	2006	55.3
Wangaratta	2011	54.5
Wangaratta	2016	51.2
Wangaratta Region	2006	65.2
Wangaratta Region	2011	64.4
Wangaratta Region	2016	60.5
Beechworth	2006	54.4
Beechworth	2011	53.9
Beechworth	2016	52.1
Bright - Mount Beauty	2006	56.3
Bright - Mount Beauty	2011	56.2
Bright - Mount Beauty	2016	53.8
Chiltern - Indigo Valley	2006	62.7
Chiltern - Indigo Valley	2011	62.7
Chiltern - Indigo Valley	2016	60.5
Myrtleford	2006	53.3
Myrtleford	2011	53.2
Myrtleford	2016	52.1
Towong	2006	56.1
Towong	2011	56.9
Towong	2016	53
West Wodonga	2006	65.4
West Wodonga	2011	63.1
West Wodonga	2016	59.2
Wodonga	2006	60.2
Wodonga	2011	59.2
Wodonga	2016	57.6
Yackandandah	2006	65.6
Yackandandah	2011	64.9
Yackandandah	2016	62.2
Drouin	2006	55.6
Drouin	2011	56.2
Drouin	2016	52.5
Mount Baw Baw Region	2006	59.1
Mount Baw Baw Region	2011	59.6
Mount Baw Baw Region	2016	55.3
Trafalgar (Vic.)	2006	58.4
Trafalgar (Vic.)	2011	58.3
Trafalgar (Vic.)	2016	55.6
Warragul	2006	58.3
Warragul	2011	58.1
Warragul	2016	54.8
Alps - East	2006	0
Alps - East	2011	0
Alps - East	2016	100
Bairnsdale	2006	50.7
Bairnsdale	2011	51.7
Bairnsdale	2016	47.3
Bruthen - Omeo	2006	57.5
Bruthen - Omeo	2011	56.5
Bruthen - Omeo	2016	54.3
Lake King	2006	0
Lake King	2011	0
Lake King	2016	0
Lakes Entrance	2006	43.9
Lakes Entrance	2011	44.5
Lakes Entrance	2016	40.8
Orbost	2006	47.7
Orbost	2011	48.3
Orbost	2016	42.2
Paynesville	2006	40.8
Paynesville	2011	40.5
Paynesville	2016	37.4
Foster	2006	51.1
Foster	2011	53.5
Foster	2016	47.1
French Island	2006	57.8
French Island	2011	54.1
French Island	2016	51
Korumburra	2006	56.5
Korumburra	2011	57.5
Korumburra	2016	54.2
Leongatha	2006	58.3
Leongatha	2011	58.5
Leongatha	2016	53.6
Phillip Island	2006	46.6
Phillip Island	2011	50.5
Phillip Island	2016	46.8
Wilsons Promontory	2006	0
Wilsons Promontory	2011	50
Wilsons Promontory	2016	120
Wonthaggi - Inverloch	2006	44.9
Wonthaggi - Inverloch	2011	48.8
Wonthaggi - Inverloch	2016	45
Churchill	2006	57
Churchill	2011	55.7
Churchill	2016	51.9
Moe - Newborough	2006	45.2
Moe - Newborough	2011	45.3
Moe - Newborough	2016	44.1
Morwell	2006	43.2
Morwell	2011	42.4
Morwell	2016	39
Traralgon	2006	56.7
Traralgon	2011	58.5
Traralgon	2016	55.2
Yallourn North - Glengarry	2006	60.4
Yallourn North - Glengarry	2011	60.1
Yallourn North - Glengarry	2016	57.1
Alps - West	2006	19
Alps - West	2011	40
Alps - West	2016	87
Longford - Loch Sport	2006	49.9
Longford - Loch Sport	2011	51.1
Longford - Loch Sport	2016	45.9
Maffra	2006	55.6
Maffra	2011	54.8
Maffra	2016	54
Rosedale	2006	50.2
Rosedale	2011	48.4
Rosedale	2016	46.5
Sale	2006	53.6
Sale	2011	54.9
Sale	2016	52
Yarram	2006	51.3
Yarram	2011	51.2
Yarram	2016	47.1
Brunswick	2006	60.3
Brunswick	2011	64.3
Brunswick	2016	66.4
Brunswick East	2006	60.7
Brunswick East	2011	66.1
Brunswick East	2016	68.1
Brunswick West	2006	58.1
Brunswick West	2011	61.7
Brunswick West	2016	62.2
Coburg	2006	53.9
Coburg	2011	57.6
Coburg	2016	60.4
Pascoe Vale South	2006	57.7
Pascoe Vale South	2011	60.8
Pascoe Vale South	2016	60.7
Alphington - Fairfield	2006	62.8
Alphington - Fairfield	2011	66.8
Alphington - Fairfield	2016	65.8
Northcote	2006	61.7
Northcote	2011	65.1
Northcote	2016	65.7
Thornbury	2006	56.9
Thornbury	2011	61.6
Thornbury	2016	63.4
Ascot Vale	2006	57.5
Ascot Vale	2011	62.4
Ascot Vale	2016	62.9
Essendon - Aberfeldie	2006	61.3
Essendon - Aberfeldie	2011	63.9
Essendon - Aberfeldie	2016	63.7
Flemington	2006	48.8
Flemington	2011	55.1
Flemington	2016	54.1
Moonee Ponds	2006	61.4
Moonee Ponds	2011	63.7
Moonee Ponds	2016	63.3
Carlton	2006	39.3
Carlton	2011	42.8
Carlton	2016	36.4
Docklands	2006	64.7
Docklands	2011	62.2
Docklands	2016	57.9
East Melbourne	2006	67.5
East Melbourne	2011	67.4
East Melbourne	2016	64.9
Flemington Racecourse	2006	0
Flemington Racecourse	2011	81.4
Flemington Racecourse	2016	50.6
Kensington (Vic.)	2006	67.6
Kensington (Vic.)	2011	69.4
Kensington (Vic.)	2016	68
Melbourne	2006	44
Melbourne	2011	50.3
Melbourne	2016	43.9
North Melbourne	2006	53.5
North Melbourne	2011	56.4
North Melbourne	2016	53.2
Parkville	2006	50.8
Parkville	2011	49.5
Parkville	2016	50.3
South Yarra - West	2006	59.4
South Yarra - West	2011	62.7
South Yarra - West	2016	59.9
Southbank	2006	58.4
Southbank	2011	63.9
Southbank	2016	60.2
West Melbourne	2006	0
West Melbourne	2011	0
West Melbourne	2016	0
Albert Park	2006	63.2
Albert Park	2011	65.3
Albert Park	2016	61
Elwood	2006	66.8
Elwood	2011	72.6
Elwood	2016	70.7
Port Melbourne	2006	61.7
Port Melbourne	2011	65.6
Port Melbourne	2016	64
Port Melbourne Industrial	2006	0
Port Melbourne Industrial	2011	100
Port Melbourne Industrial	2016	144.4
South Melbourne	2006	58.2
South Melbourne	2011	60.8
South Melbourne	2016	59.7
St Kilda	2006	60.2
St Kilda	2011	67.6
St Kilda	2016	63.5
St Kilda East	2006	63.9
St Kilda East	2011	70.7
St Kilda East	2016	69.4
Armadale	2006	62.2
Armadale	2011	63.3
Armadale	2016	62.3
Prahran - Windsor	2006	62.5
Prahran - Windsor	2011	66.4
Prahran - Windsor	2016	67.4
South Yarra - East	2006	61.9
South Yarra - East	2011	65.7
South Yarra - East	2016	64.7
Toorak	2006	56.9
Toorak	2011	56.9
Toorak	2016	56.5
Abbotsford	2006	62.7
Abbotsford	2011	63.2
Abbotsford	2016	68.7
Carlton North - Princes Hill	2006	66.7
Carlton North - Princes Hill	2011	69.1
Carlton North - Princes Hill	2016	67.2
Collingwood	2006	55.7
Collingwood	2011	59.1
Collingwood	2016	62.5
Fitzroy	2006	57.9
Fitzroy	2011	59.8
Fitzroy	2016	58.6
Fitzroy North	2006	62.9
Fitzroy North	2011	66.4
Fitzroy North	2016	65.4
Richmond (Vic.)	2006	63.1
Richmond (Vic.)	2011	68
Richmond (Vic.)	2016	68.3
Yarra - North	2006	64.8
Yarra - North	2011	68.8
Yarra - North	2016	66.5
Ashburton (Vic.)	2006	58.7
Ashburton (Vic.)	2011	60.2
Ashburton (Vic.)	2016	60.2
Balwyn	2006	55.7
Balwyn	2011	55.3
Balwyn	2016	53.2
Balwyn North	2006	56.8
Balwyn North	2011	57.4
Balwyn North	2016	56.1
Camberwell	2006	61
Camberwell	2011	60.7
Camberwell	2016	57.6
Glen Iris - East	2006	65
Glen Iris - East	2011	64.7
Glen Iris - East	2016	63.7
Hawthorn	2006	63.3
Hawthorn	2011	64.1
Hawthorn	2016	63.1
Hawthorn East	2006	64.6
Hawthorn East	2011	65.1
Hawthorn East	2016	63.4
Kew	2006	59.8
Kew	2011	59.9
Kew	2016	59
Kew East	2006	61
Kew East	2011	63.3
Kew East	2016	60.8
Surrey Hills (West) - Canterbury	2006	62.6
Surrey Hills (West) - Canterbury	2011	62
Surrey Hills (West) - Canterbury	2016	58.2
Bulleen	2006	53.7
Bulleen	2011	54.2
Bulleen	2016	52.5
Doncaster	2006	52.2
Doncaster	2011	51.8
Doncaster	2016	50.2
Templestowe	2006	60.5
Templestowe	2011	59.4
Templestowe	2016	54.2
Templestowe Lower	2006	55.3
Templestowe Lower	2011	54
Templestowe Lower	2016	52
Doncaster East (North)	2006	61.5
Doncaster East (North)	2011	59
Doncaster East (North)	2016	55.4
Doncaster East (South)	2006	52.7
Doncaster East (South)	2011	52.4
Doncaster East (South)	2016	51.2
Blackburn	2006	59.2
Blackburn	2011	58.5
Blackburn	2016	58
Blackburn South	2006	55.2
Blackburn South	2011	55.5
Blackburn South	2016	53.5
Box Hill	2006	53.7
Box Hill	2011	54.1
Box Hill	2016	51.9
Box Hill North	2006	57.7
Box Hill North	2011	58.2
Box Hill North	2016	56.8
Burwood	2006	49.7
Burwood	2011	46.5
Burwood	2016	45.1
Burwood East	2006	54.5
Burwood East	2011	51.6
Burwood East	2016	50.8
Surrey Hills (East) - Mont Albert	2006	62.7
Surrey Hills (East) - Mont Albert	2011	62.8
Surrey Hills (East) - Mont Albert	2016	62
Beaumaris	2006	60.1
Beaumaris	2011	61.6
Beaumaris	2016	58.7
Brighton (Vic.)	2006	57.1
Brighton (Vic.)	2011	56.5
Brighton (Vic.)	2016	55.7
Brighton East	2006	60
Brighton East	2011	59.8
Brighton East	2016	58.1
Cheltenham - Highett (West)	2006	59.7
Cheltenham - Highett (West)	2011	61.7
Cheltenham - Highett (West)	2016	62.6
Hampton	2006	58.9
Hampton	2011	59.7
Hampton	2016	59.8
Sandringham - Black Rock	2006	58.6
Sandringham - Black Rock	2011	58.4
Sandringham - Black Rock	2016	58.3
Bentleigh - McKinnon	2006	59.4
Bentleigh - McKinnon	2011	61.2
Bentleigh - McKinnon	2016	59.4
Carnegie	2006	58.7
Carnegie	2011	61.5
Carnegie	2016	58.8
Caulfield - North	2006	56.5
Caulfield - North	2011	60.2
Caulfield - North	2016	59.2
Caulfield - South	2006	58.7
Caulfield - South	2011	60.3
Caulfield - South	2016	59.5
Elsternwick	2006	61.1
Elsternwick	2011	63.1
Elsternwick	2016	64.4
Hughesdale	2006	59.3
Hughesdale	2011	59.7
Hughesdale	2016	60.9
Murrumbeena	2006	62.6
Murrumbeena	2011	65.6
Murrumbeena	2016	63.4
Ormond - Glen Huntly	2006	61
Ormond - Glen Huntly	2011	63.5
Ormond - Glen Huntly	2016	62.6
Bentleigh East (North)	2006	59.2
Bentleigh East (North)	2011	62.2
Bentleigh East (North)	2016	61.3
Bentleigh East (South)	2006	56.7
Bentleigh East (South)	2011	58.9
Bentleigh East (South)	2016	59.5
Aspendale Gardens - Waterways	2006	69.4
Aspendale Gardens - Waterways	2011	67.1
Aspendale Gardens - Waterways	2016	64.8
Braeside	2006	42.9
Braeside	2011	30.8
Braeside	2016	45
Carrum - Patterson Lakes	2006	59.9
Carrum - Patterson Lakes	2011	61.4
Carrum - Patterson Lakes	2016	60.4
Chelsea - Bonbeach	2006	53.6
Chelsea - Bonbeach	2011	57.5
Chelsea - Bonbeach	2016	58.2
Chelsea Heights	2006	66
Chelsea Heights	2011	65
Chelsea Heights	2016	60.8
Cheltenham - Highett (East)	2006	56.5
Cheltenham - Highett (East)	2011	58.2
Cheltenham - Highett (East)	2016	59
Edithvale - Aspendale	2006	60.4
Edithvale - Aspendale	2011	62.7
Edithvale - Aspendale	2016	62.8
Mentone	2006	59.2
Mentone	2011	60.6
Mentone	2016	60.8
Moorabbin - Heatherton	2006	56
Moorabbin - Heatherton	2011	60.3
Moorabbin - Heatherton	2016	59.7
Moorabbin Airport	2006	0
Moorabbin Airport	2011	0
Moorabbin Airport	2016	0
Mordialloc - Parkdale	2006	61.2
Mordialloc - Parkdale	2011	63.6
Mordialloc - Parkdale	2016	63.2
Malvern - Glen Iris	2006	60.6
Malvern - Glen Iris	2011	63.1
Malvern - Glen Iris	2016	61.5
Malvern East	2006	59.2
Malvern East	2011	61
Malvern East	2016	58.3
Bundoora - East	2006	56.5
Bundoora - East	2011	54.8
Bundoora - East	2016	53.3
Greensborough	2006	65.3
Greensborough	2011	65
Greensborough	2016	62.6
Heidelberg - Rosanna	2006	56.8
Heidelberg - Rosanna	2011	59
Heidelberg - Rosanna	2016	58.7
Heidelberg West	2006	44.1
Heidelberg West	2011	50
Heidelberg West	2016	50.4
Ivanhoe	2006	61.5
Ivanhoe	2011	63.3
Ivanhoe	2016	62.9
Ivanhoe East - Eaglemont	2006	63.9
Ivanhoe East - Eaglemont	2011	64.3
Ivanhoe East - Eaglemont	2016	61.6
Montmorency - Briar Hill	2006	64.3
Montmorency - Briar Hill	2011	64.5
Montmorency - Briar Hill	2016	61.5
Viewbank - Yallambie	2006	60.9
Viewbank - Yallambie	2011	59.9
Viewbank - Yallambie	2016	59.1
Watsonia	2006	58.1
Watsonia	2011	60.2
Watsonia	2016	59.2
Kingsbury	2006	51.3
Kingsbury	2011	51.4
Kingsbury	2016	49.8
Reservoir - East	2006	45.2
Reservoir - East	2011	48.9
Reservoir - East	2016	50.1
Reservoir - West	2006	46.1
Reservoir - West	2011	49.5
Reservoir - West	2016	51.2
Preston - East	2006	48.6
Preston - East	2011	52.2
Preston - East	2016	55.7
Preston - West	2006	51.9
Preston - West	2011	58.5
Preston - West	2016	59.8
Eltham	2006	70.2
Eltham	2011	69.2
Eltham	2016	65.8
Hurstbridge	2006	69.3
Hurstbridge	2011	70.4
Hurstbridge	2016	67.5
Kinglake	2006	63.6
Kinglake	2011	61.8
Kinglake	2016	60.2
Panton Hill - St Andrews	2006	67.1
Panton Hill - St Andrews	2011	67.1
Panton Hill - St Andrews	2016	62.8
Plenty - Yarrambat	2006	68.6
Plenty - Yarrambat	2011	69.3
Plenty - Yarrambat	2016	66.5
Research - North Warrandyte	2006	68.8
Research - North Warrandyte	2011	67.9
Research - North Warrandyte	2016	64.9
Wattle Glen - Diamond Creek	2006	72.2
Wattle Glen - Diamond Creek	2011	70.4
Wattle Glen - Diamond Creek	2016	68.4
Bundoora - North	2006	57.8
Bundoora - North	2011	57.5
Bundoora - North	2016	54.4
Bundoora - West	2006	55.7
Bundoora - West	2011	52
Bundoora - West	2016	49.6
Lalor	2006	44.3
Lalor	2011	44.2
Lalor	2016	44.4
Mill Park - North	2006	64.9
Mill Park - North	2011	63.6
Mill Park - North	2016	60.2
Mill Park - South	2006	61
Mill Park - South	2011	60.4
Mill Park - South	2016	57.7
Thomastown	2006	44.8
Thomastown	2011	43.9
Thomastown	2016	43
Wallan	2006	65.3
Wallan	2011	64.9
Wallan	2016	62.2
Whittlesea	2006	60.8
Whittlesea	2011	60.7
Whittlesea	2016	56.7
Doreen	2006	76.1
Doreen	2011	76.3
Doreen	2016	70.1
Epping - East	2006	63.4
Epping - East	2011	58.5
Epping - East	2016	55.7
Epping - South	2006	57.9
Epping - South	2011	56.5
Epping - South	2016	51.8
Epping - West	2006	57.2
Epping - West	2011	67.6
Epping - West	2016	63.2
Mernda	2006	63
Mernda	2011	74.4
Mernda	2016	65.7
South Morang (North)	2006	72.3
South Morang (North)	2011	71.3
South Morang (North)	2016	68.4
South Morang (South)	2006	67.7
South Morang (South)	2011	65
South Morang (South)	2016	61
Wollert	2006	58.8
Wollert	2011	62.9
Wollert	2016	63.6
Airport West	2006	51.3
Airport West	2011	55.8
Airport West	2016	56.5
Essendon Airport	2006	0
Essendon Airport	2011	0
Essendon Airport	2016	0
Keilor	2006	59.9
Keilor	2011	58.9
Keilor	2016	55.9
Keilor East	2006	52.9
Keilor East	2011	52.3
Keilor East	2016	51.7
Niddrie - Essendon West	2006	57.6
Niddrie - Essendon West	2011	61.8
Niddrie - Essendon West	2016	63.4
Strathmore	2006	61.7
Strathmore	2011	63.5
Strathmore	2016	63.2
Gisborne	2006	65.3
Gisborne	2011	65.2
Gisborne	2016	62.3
Macedon	2006	61.6
Macedon	2011	63.6
Macedon	2016	59.5
Riddells Creek	2006	67.4
Riddells Creek	2011	70.3
Riddells Creek	2016	65.4
Romsey	2006	62.1
Romsey	2011	63.2
Romsey	2016	59.2
Coburg North	2006	47.1
Coburg North	2011	52
Coburg North	2016	56
Fawkner	2006	37.7
Fawkner	2011	41.8
Fawkner	2016	44.9
Pascoe Vale	2006	53.4
Pascoe Vale	2011	57.6
Pascoe Vale	2016	59.5
Glenroy	2006	43
Glenroy	2011	46.7
Glenroy	2016	50.7
Gowanbrae	2006	72.5
Gowanbrae	2011	65.9
Gowanbrae	2016	63.2
Hadfield	2006	43.8
Hadfield	2011	47
Hadfield	2016	46.6
Sunbury	2006	65.4
Sunbury	2011	66.4
Sunbury	2016	62.1
Sunbury - South	2006	64
Sunbury - South	2011	64
Sunbury - South	2016	61.7
Broadmeadows	2006	35.4
Broadmeadows	2011	34.8
Broadmeadows	2016	36.8
Campbellfield - Coolaroo	2006	33.4
Campbellfield - Coolaroo	2011	32.7
Campbellfield - Coolaroo	2016	33.6
Gladstone Park - Westmeadows	2006	58.4
Gladstone Park - Westmeadows	2011	58.6
Gladstone Park - Westmeadows	2016	55
Greenvale - Bulla	2006	66.4
Greenvale - Bulla	2011	64.8
Greenvale - Bulla	2016	62.8
Meadow Heights	2006	40.7
Meadow Heights	2011	39.8
Meadow Heights	2016	37.7
Melbourne Airport	2006	68.5
Melbourne Airport	2011	46.2
Melbourne Airport	2016	33.7
Roxburgh Park - Somerton	2006	54.2
Roxburgh Park - Somerton	2011	51.3
Roxburgh Park - Somerton	2016	46.1
Tullamarine	2006	57.1
Tullamarine	2011	57.7
Tullamarine	2016	54.2
Craigieburn - Central	2006	62.4
Craigieburn - Central	2011	60.6
Craigieburn - Central	2016	54.9
Craigieburn - North	2006	70
Craigieburn - North	2011	65.7
Craigieburn - North	2016	62.2
Craigieburn - South	2006	66.1
Craigieburn - South	2011	62.5
